python
java
c++
javascript
html
css
sql
postgresql
mysql
mongodb
pandas
numpy
matplotlib
seaborn
scikit-learn
tensorflow
pytorch
nlp
spacy
flask
django
fastapi
git
linux
docker
kubernetes
aws
azure
gcp
react
node.js
typescript
excel
power bi
tableau
